"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","solidarites.gouv.fr/185.194.82.206","443","INFO","HTTP","",""
"pre_128cipher","solidarites.gouv.fr/185.194.82.206","443","INFO","No 128 cipher limit bug","",""
"SSLv2","solidarites.gouv.fr/185.194.82.206","443","OK","not offered","",""
"SSLv3","solidarites.gouv.fr/185.194.82.206","443","OK","not offered","",""
"TLS1","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_1","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_2","solidarites.gouv.fr/185.194.82.206","443","OK","offered","",""
"TLS1_3","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_NULL","solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_LOW","solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_STRONG_FS","solidarites.gouv.fr/185.194.82.206","443","OK","offered","",""
"cipher_order-tls1_2","solidarites.gouv.fr/185.194.82.206","443","OK","server","",""
"cipherorder_TLSv1_2","solidarites.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","solidarites.gouv.fr/185.194.82.206","443","OK","server","",""
"FS","solidarites.gouv.fr/185.194.82.206","443","OK","offered","",""
"FS_ciphers","solidarites.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","solidarites.gouv.fr/185.194.82.206","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","solidarites.gouv.fr/185.194.82.206","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","solidarites.gouv.fr/185.194.82.206","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","solidarites.gouv.fr/185.194.82.206","443","INFO","yes","",""
"sessionresumption_ticket","solidarites.gouv.fr/185.194.82.206","443","INFO","not supported","",""
"sessionresumption_ID","solidarites.gouv.fr/185.194.82.206","443","INFO","supported","",""
"TLS_timestamp","solidarites.gouv.fr/185.194.82.206","443","INFO","random","",""
"cert_compression","solidarites.gouv.fr/185.194.82.206","443","INFO","N/A","",""
"clientAuth","solidarites.gouv.fr/185.194.82.206","443","INFO","none","",""
"cert_numbers","solidarites.gouv.fr/185.194.82.206","443","INFO","1","",""
"cert_signatureAlgorithm","solidarites.gouv.fr/185.194.82.206","443","OK","SHA256 with RSA","",""
